date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:46:39	52979/52979	---M--	200	added ('OK')	image/jpeg	etag:%22cef3-55e0b0974d390%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/HollywoodSmokin-1.jpg	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/HollywoodSmokin-1.jpg	(from https://oaksterdamuniversity.com/anniversary/)
08:46:40	40247/40247	---M--	200	added ('OK')	image/png	etag:%229d37-55e0b1ab43922%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/dopemagazine.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/dopemagazine.png	(from https://oaksterdamuniversity.com/anniversary/)
08:46:40	2425670/2425670	---M--	200	added ('OK')	image/jpeg	etag:%22250346-55e0af14115ba%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/Semore_Skunk_New_WhiteTee_Art.jpg	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/Semore_Skunk_New_WhiteTee_Art.jpg	(from https://oaksterdamuniversity.com/anniversary/)
08:46:40	60907/60907	---M--	200	added ('OK')	image/jpeg	etag:%22edeb-55e0aece29eb9%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/kofy-tv-logo.jpg	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/kofy-tv-logo.jpg	(from https://oaksterdamuniversity.com/anniversary/)
08:46:41	574044/574044	---M--	200	added ('OK')	image/png	etag:%228c25c-55e0b290be65e%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/Kiva_Confections_Logo_Large.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/Kiva_Confections_Logo_Large.png	(from https://oaksterdamuniversity.com/anniversary/)
08:46:41	213898/213898	---M--	200	added ('OK')	image/png	etag:%223438a-55e0b58b67256%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/vcc-logo.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/vcc-logo.png	(from https://oaksterdamuniversity.com/anniversary/)
08:46:41	1748/1748	---M--	200	added ('OK')	image/png	etag:%226d4-55d6b9c918566%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/medtainer-logo-small.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/medtainer-logo-small.png	(from https://oaksterdamuniversity.com/anniversary/)
08:46:41	74015/74015	---M--	200	added ('OK')	image/png	etag:%221211f-55d6bc5b98c9c%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/cbllogo_coloronlight.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/cbllogo_coloronlight.png	(from https://oaksterdamuniversity.com/anniversary/)
08:46:41	61119/61119	---M--	200	added ('OK')	image/jpeg	etag:%22eebf-55cc6df12e6e3%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/10/Xternal-Logo.jpg	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/10/Xternal-Logo.jpg	(from https://oaksterdamuniversity.com/anniversary/)
08:46:41	121169/121169	---M--	200	added ('OK')	image/png	etag:%221d951-55d6961ec2fe4%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/11/drbronners-logo-horiz.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/11/drbronners-logo-horiz.png	(from https://oaksterdamuniversity.com/anniversary/)
